ID,text,label,implicit_class,extra_implicit_class,target,implied_statement,gold_exp_no_corr,gold_exp,input_text
903447109973757954,my ancestors waged a war against the british to gain freedom to establish a representative constitutional republic called usa . did yours ?,hateful,white_grievance,,non-white people,non-white people are undeserving,The message is hateful against non-white people because it implies that non-white people are undeserving,The message is hateful against non-white people because it implies that non-white people are undeserving of respect.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against non-white people because it implies that non-white people are undeserving"
99252223082643440,is someone mad they now have some competition? is competition bad? are we scared we can't compete with third world people?,hateful,inferiority,,Immigrants,Immigrants are stupid,The message is hateful against Immigrants because it implies that Immigrants are stupid,The message is hateful against immigrants because it implies that immigrants are stupid.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Immigrants because it implies that Immigrants are stupid"
919885480023470080,muslims always feel provoked and offended ... that's why islam has to be banned from democracies .,hateful,stereotypical,,Muslims,Muslims are sensitive.,The message is hateful against Muslims because it implies that Muslims are sensitive.,The message is hateful against Muslims because it implies that Muslims are overly sensitive.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Muslims because it implies that Muslims are sensitive."
899327967939010560,the dems are trying to re-write history & claim the high ground . true american ideals are equal and color blind .,hateful,,,Democrats,Democrats are trying to re-write history.,The message is hateful against Democrats because it implies that Democrats are trying to re-write history.,The message is hateful towards Democrats because it implies that Democrats are attempting to re-write history.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Democrats because it implies that Democrats are trying to re-write history."
929915375839477761,why would you deport white people out of a country they founded for themselves ?,hateful,incitement,,Minorities,Minorities are second class citizens,The message is hateful against Minorities because it implies that Minorities are second class citizens,The message is hateful towards minorities because it implies that minorities are second-class citizens.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Minorities because it implies that Minorities are second class citizens"
530318543368519680,zionist racist ideology myself afro american rather eat with adolf hitler . stop holocaust on arabs,hateful,,,Jews,Jews are racist,The message is hateful against Jews because it implies that Jews are racist,The message is hateful towards Jews because it implies that Jews are racist.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Jews because it implies that Jews are racist"
663073473682677760,: elin krantz : just another dead white liberal female raped to death by non-white invader,hateful,stereotypical,,Immigrants,Immigrants are rapists,The message is hateful against Immigrants because it implies that Immigrants are rapists,The message is hateful against immigrants because it implies that immigrants are rapists.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Immigrants because it implies that Immigrants are rapists"
796571461939036160,i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .,hateful,incitement,,Minorities,Minorities are substandard people,The message is hateful against Minorities because it implies that Minorities are substandard people,The message is hateful against minorities because it implies that minorities are inferior people.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Minorities because it implies that Minorities are substandard people"
624330294393376772,#cuckservative : a person who wishes for america's return to 1950s values / strength  without admitting the nation was 90 % white then ...,hateful,incitement,,conservatives,Conservatives like a white America.,The message is hateful against conservatives because it implies that Conservatives like a white America.,The message is hateful towards conservatives because it implies that they prefer a white America.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against conservatives because it implies that Conservatives like a white America."
856169422288961408,no sanc for islamists or illegals or ms13 thugs. time for us to just say no to these rats who infest our body politic and do us no good.,hateful,inferiority,,immigrants,immigrants are criminals,The message is hateful against immigrants because it implies that immigrants are criminals,The message is hateful against immigrants because it implies that immigrants are criminals.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against immigrants because it implies that immigrants are criminals"
826057300771270656,propaganda photo to make white people appear humiliated . sorry  not applicable here .,hateful,white_grievance,,white people,White people shouldn't be sorry.,The message is hateful against white people because it implies that White people shouldn't be sorry.,The message is hateful towards white people because it implies that white people should not apologize.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against white people because it implies that White people shouldn't be sorry."
940799588537159681,trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump . look elsewhere for a white victory !,hateful,stereotypical,,Jews,Jews are manipulative,The message is hateful against Jews because it implies that Jews are manipulative,The message is hateful towards Jews because it implies that Jews are manipulative.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Jews because it implies that Jews are manipulative"
899292442230501376,you're white + want to protect & preserve your distinct race / ethnicity just like everyone else . that co,hateful,white_grievance,,white people,White people should be protected.,The message is hateful against white people because it implies that White people should be protected.,The message is hateful towards white people because it implies that white people deserve protection.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against white people because it implies that White people should be protected."
888163830269915140,white men  think you are a child .,hateful,inferiority,,Whites,Whites are condescending,The message is hateful against Whites because it implies that Whites are condescending,The message is hateful towards Whites because it implies that Whites are condescending.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Whites because it implies that Whites are condescending"
929837057857523712,the #gaylobby needs the opioid crisis in order to fulfill #gaymarriage adoptions.the donald is a businessman . sure,hateful,incitement,,Gays,Gays are self-serving,The message is hateful against Gays because it implies that Gays are self-serving,The message is hateful against Gays because it implies that Gays are self-serving individuals.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against Gays because it implies that Gays are self-serving"
519633469819719680,white genocide accelerates in england : white british pupils will be outnumbered by 2037 #waronwhites,hateful,white_grievance,,White people,White people are declining in England,The message is hateful against White people because it implies that White people are declining in England,The message is hateful towards White people because it implies that White people are declining in England.,"Correct any grammatical mistake and make sure that the implication has a subject, a predicate, and optionally, an object. In case there are any negative or strong word keep them:

The message is hateful against White people because it implies that White people are declining in England"
